workload,gpu,problem_size,stage,tile_size,measured_speedup
gemm,A40,2048,1,64,1.000
gemm,A40,2048,2,64,1.060
gemm,A40,2048,3,64,1.020
gemm,A40,2048,4,64,0.950
gemm,A100_MIG_3g40gb,2048,1,64,1.000
gemm,A100_MIG_3g40gb,2048,2,64,1.240
gemm,A100_MIG_3g40gb,2048,3,64,1.320
gemm,A100_MIG_3g40gb,2048,4,64,1.280
gemm,H100_SXM5,2048,1,64,1.000
gemm,H100_SXM5,2048,2,64,1.140
gemm,H100_SXM5,2048,3,64,1.200
gemm,H100_SXM5,2048,4,64,1.160
stencil,A40,4194304,1,1024,1.000
stencil,A40,4194304,2,1024,1.120
stencil,A40,4194304,3,1024,1.080
stencil,A40,4194304,4,1024,0.990
stencil,A100_MIG_3g40gb,4194304,1,1024,1.000
stencil,A100_MIG_3g40gb,4194304,2,1024,1.300
stencil,A100_MIG_3g40gb,4194304,3,1024,1.350
stencil,A100_MIG_3g40gb,4194304,4,1024,1.310
stencil,H100_SXM5,4194304,1,1024,1.000
stencil,H100_SXM5,4194304,2,1024,1.190
stencil,H100_SXM5,4194304,3,1024,1.250
stencil,H100_SXM5,4194304,4,1024,1.220
