workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,A100_MIG_3g40gb,256,Ref,0,16,0.017408,1927.529378,1,0.000000
gemm,A100_MIG_3g40gb,256,V1,1,16,0.043008,780.190482,1,0.000023
gemm,A100_MIG_3g40gb,256,V0,0,16,0.039936,840.205157,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,2,16,0.044032,762.046512,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,3,16,0.044032,762.046512,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,4,16,0.044032,762.046512,1,0.000023
gemm,A100_MIG_3g40gb,256,Ref,0,32,0.017408,1927.529378,1,0.000000
gemm,A100_MIG_3g40gb,256,V1,1,32,0.027648,1213.629628,1,0.000023
gemm,A100_MIG_3g40gb,256,V0,0,32,0.039936,840.205157,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,2,32,0.027648,1213.629628,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,3,32,0.027648,1213.629628,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,4,32,0.029696,1129.931006,1,0.000023
gemm,A100_MIG_3g40gb,256,Ref,0,64,0.017408,1927.529378,1,0.000000
gemm,A100_MIG_3g40gb,256,V1,1,64,0.034816,963.764689,1,0.000023
gemm,A100_MIG_3g40gb,256,V0,0,64,0.039936,840.205157,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,2,64,0.040960,819.200021,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,3,64,0.035840,936.228546,1,0.000023
gemm,A100_MIG_3g40gb,256,V3,4,64,0.038912,862.315828,1,0.000023
gemm,A100_MIG_3g40gb,256,Ref,0,128,0.017408,1927.529378,1,0.000000
gemm,A100_MIG_3g40gb,256,V1,1,128,0.091136,368.179771,1,0.000023
gemm,A100_MIG_3g40gb,256,V0,0,128,0.039936,840.205157,1,0.000023
gemm,A100_MIG_3g40gb,512,Ref,0,16,0.062464,4297.442706,1,0.000000
gemm,A100_MIG_3g40gb,512,V1,1,16,0.235520,1139.756496,1,0.000069
gemm,A100_MIG_3g40gb,512,V0,0,16,0.235520,1139.756496,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,2,16,0.243712,1101.445409,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,3,16,0.247808,1083.239694,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,4,16,0.242688,1106.092826,1,0.000069
gemm,A100_MIG_3g40gb,512,Ref,0,32,0.062464,4297.442706,1,0.000000
gemm,A100_MIG_3g40gb,512,V1,1,32,0.151552,1771.243166,1,0.000069
gemm,A100_MIG_3g40gb,512,V0,0,32,0.236544,1134.822520,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,2,32,0.150528,1783.292531,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,3,32,0.150528,1783.292531,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,4,32,0.150528,1783.292531,1,0.000069
gemm,A100_MIG_3g40gb,512,Ref,0,64,0.062464,4297.442706,1,0.000000
gemm,A100_MIG_3g40gb,512,V1,1,64,0.097280,2759.410438,1,0.000069
gemm,A100_MIG_3g40gb,512,V0,0,64,0.237568,1129.931006,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,2,64,0.099328,2702.515563,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,3,64,0.132096,2032.124145,1,0.000069
gemm,A100_MIG_3g40gb,512,V3,4,64,0.141312,1899.594161,1,0.000069
gemm,A100_MIG_3g40gb,512,Ref,0,128,0.062464,4297.442706,1,0.000000
gemm,A100_MIG_3g40gb,512,V1,1,128,0.164352,1633.295953,1,0.000069
gemm,A100_MIG_3g40gb,512,V0,0,128,0.236032,1137.284157,1,0.000069
gemm,A100_MIG_3g40gb,1024,Ref,0,16,0.326656,6574.143924,1,0.000000
gemm,A100_MIG_3g40gb,1024,V1,1,16,1.736192,1236.892960,1,0.000458
gemm,A100_MIG_3g40gb,1024,V0,0,16,1.763328,1217.858335,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,2,16,1.824768,1176.853008,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,3,16,1.856000,1157.049413,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,4,16,1.819136,1180.496467,1,0.000458
gemm,A100_MIG_3g40gb,1024,Ref,0,32,0.326656,6574.143924,1,0.000000
gemm,A100_MIG_3g40gb,1024,V1,1,32,1.024000,2097.151900,1,0.000458
gemm,A100_MIG_3g40gb,1024,V0,0,32,1.754112,1224.256856,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,2,32,1.003008,2141.043372,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,3,32,1.002496,2142.136866,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,4,32,1.021952,2101.354641,1,0.000458
gemm,A100_MIG_3g40gb,1024,Ref,0,64,0.326656,6574.143924,1,0.000000
gemm,A100_MIG_3g40gb,1024,V1,1,64,0.600576,3575.706833,1,0.000458
gemm,A100_MIG_3g40gb,1024,V0,0,64,1.763328,1217.858335,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,2,64,0.646144,3323.537382,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,3,64,0.879616,2441.387599,1,0.000458
gemm,A100_MIG_3g40gb,1024,V3,4,64,0.970752,2212.185652,1,0.000458
gemm,A100_MIG_3g40gb,1024,Ref,0,128,0.326656,6574.143924,1,0.000000
gemm,A100_MIG_3g40gb,1024,V1,1,128,0.617472,3477.864053,1,0.000458
gemm,A100_MIG_3g40gb,1024,V0,0,128,1.762304,1218.565986,1,0.000458
gemm,A100_MIG_3g40gb,2048,Ref,0,16,2.525696,6802.033866,1,0.000000
gemm,A100_MIG_3g40gb,2048,V1,1,16,14.116864,1216.974926,1,0.000000
gemm,A100_MIG_3g40gb,2048,V0,0,16,14.225920,1207.645588,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,2,16,14.651392,1172.575903,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,3,16,15.016960,1144.031083,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,4,16,14.605312,1176.275370,1,0.000000
