workload,gpu,problem_size,stage,tile_size,measured_speedup
gemm,A100_MIG_3g40gb,1024,1,128,1.000000
gemm,A100_MIG_3g40gb,1024,1,16,1.000000
gemm,A100_MIG_3g40gb,1024,1,32,1.000000
gemm,A100_MIG_3g40gb,1024,1,64,1.000000
gemm,A100_MIG_3g40gb,1024,2,16,0.959536
gemm,A100_MIG_3g40gb,1024,2,32,1.017294
gemm,A100_MIG_3g40gb,1024,2,64,0.931692
gemm,A100_MIG_3g40gb,1024,3,16,0.942992
gemm,A100_MIG_3g40gb,1024,3,32,1.016777
gemm,A100_MIG_3g40gb,1024,3,64,0.682771
gemm,A100_MIG_3g40gb,1024,4,16,0.962259
gemm,A100_MIG_3g40gb,1024,4,32,1.002506
gemm,A100_MIG_3g40gb,1024,4,64,0.617694
gemm,A100_MIG_3g40gb,2048,1,128,1.000000
gemm,A100_MIG_3g40gb,2048,1,16,1.000000
gemm,A100_MIG_3g40gb,2048,1,32,1.000000
gemm,A100_MIG_3g40gb,2048,1,64,1.000000
gemm,A100_MIG_3g40gb,2048,2,16,0.982644
gemm,A100_MIG_3g40gb,2048,2,32,1.013898
gemm,A100_MIG_3g40gb,2048,2,64,0.931153
gemm,A100_MIG_3g40gb,2048,3,16,0.966218
gemm,A100_MIG_3g40gb,2048,3,32,1.014097
gemm,A100_MIG_3g40gb,2048,3,64,0.643741
gemm,A100_MIG_3g40gb,2048,4,16,0.983134
gemm,A100_MIG_3g40gb,2048,4,32,0.996585
gemm,A100_MIG_3g40gb,2048,4,64,0.591300
gemm,A100_MIG_3g40gb,256,1,128,1.000000
gemm,A100_MIG_3g40gb,256,1,16,1.000000
gemm,A100_MIG_3g40gb,256,1,32,1.000000
gemm,A100_MIG_3g40gb,256,1,64,1.000000
gemm,A100_MIG_3g40gb,256,2,16,0.976744
gemm,A100_MIG_3g40gb,256,2,32,1.000000
gemm,A100_MIG_3g40gb,256,2,64,0.850000
gemm,A100_MIG_3g40gb,256,3,16,0.976744
gemm,A100_MIG_3g40gb,256,3,32,1.000000
gemm,A100_MIG_3g40gb,256,3,64,0.971429
gemm,A100_MIG_3g40gb,256,4,16,0.976744
gemm,A100_MIG_3g40gb,256,4,32,0.931034
gemm,A100_MIG_3g40gb,256,4,64,0.906667
gemm,A100_MIG_3g40gb,3072,1,128,1.000000
gemm,A100_MIG_3g40gb,3072,1,16,1.000000
gemm,A100_MIG_3g40gb,3072,1,32,1.000000
gemm,A100_MIG_3g40gb,3072,1,64,1.000000
gemm,A100_MIG_3g40gb,3072,2,16,0.992084
gemm,A100_MIG_3g40gb,3072,2,32,1.036142
gemm,A100_MIG_3g40gb,3072,2,64,0.922140
gemm,A100_MIG_3g40gb,3072,3,16,0.980865
gemm,A100_MIG_3g40gb,3072,3,32,1.035360
gemm,A100_MIG_3g40gb,3072,3,64,0.604819
gemm,A100_MIG_3g40gb,3072,4,16,0.998168
gemm,A100_MIG_3g40gb,3072,4,32,0.987886
gemm,A100_MIG_3g40gb,3072,4,64,0.543381
gemm,A100_MIG_3g40gb,4096,1,128,1.000000
gemm,A100_MIG_3g40gb,4096,1,16,1.000000
gemm,A100_MIG_3g40gb,4096,1,32,1.000000
gemm,A100_MIG_3g40gb,4096,1,64,1.000000
gemm,A100_MIG_3g40gb,4096,2,16,0.999873
gemm,A100_MIG_3g40gb,4096,2,32,1.035893
gemm,A100_MIG_3g40gb,4096,2,64,0.921153
gemm,A100_MIG_3g40gb,4096,3,16,0.989100
gemm,A100_MIG_3g40gb,4096,3,32,1.035284
gemm,A100_MIG_3g40gb,4096,3,64,0.606939
gemm,A100_MIG_3g40gb,4096,4,16,1.004629
gemm,A100_MIG_3g40gb,4096,4,32,0.987628
gemm,A100_MIG_3g40gb,4096,4,64,0.542978
gemm,A100_MIG_3g40gb,512,1,128,1.000000
gemm,A100_MIG_3g40gb,512,1,16,1.000000
gemm,A100_MIG_3g40gb,512,1,32,1.000000
gemm,A100_MIG_3g40gb,512,1,64,1.000000
gemm,A100_MIG_3g40gb,512,2,16,0.962343
gemm,A100_MIG_3g40gb,512,2,32,1.006803
gemm,A100_MIG_3g40gb,512,2,64,0.979381
