gpu,size_bytes,elements,stride,iterations,cycles_per_load,ns_per_load,stream_bandwidth_gbps
A100_MIG_3g40gb,1048576,262144,32,4194304,201.338995,142.793614,30.007325
A100_MIG_3g40gb,2097152,524288,32,4194304,201.294975,142.762394,30.200922
A100_MIG_3g40gb,3145728,786432,32,4194304,201.301217,142.766820,30.247384
A100_MIG_3g40gb,4194304,1048576,32,4194304,201.297301,142.764043,30.284659
A100_MIG_3g40gb,6291456,1572864,32,4194304,201.314343,142.776130,45.385042
A100_MIG_3g40gb,8388608,2097152,32,4194304,201.308386,142.771905,60.513390
A100_MIG_3g40gb,10485760,2621440,32,4194304,201.305286,142.769707,75.606831
A100_MIG_3g40gb,12582912,3145728,32,4194304,201.301362,142.766923,90.770085
A100_MIG_3g40gb,16777216,4194304,32,4194304,201.312234,142.774634,120.859383
A100_MIG_3g40gb,20971520,5242880,32,4194304,281.672485,199.767720,143.154218
A100_MIG_3g40gb,25165824,6291456,32,4194304,454.959929,322.666616,171.560210
A100_MIG_3g40gb,29360128,7340032,32,4194304,454.881253,322.610817,211.309074
A100_MIG_3g40gb,33554432,8388608,32,4194304,458.936241,325.486696,241.162831
A100_MIG_3g40gb,37748736,9437184,32,4194304,454.912648,322.633083,256.556759
A100_MIG_3g40gb,41943040,10485760,32,4194304,458.975153,325.514293,301.038120
A100_MIG_3g40gb,50331648,12582912,32,4194304,458.988943,325.524073,341.778349
A100_MIG_3g40gb,58720256,14680064,32,4194304,455.016342,322.706626,395.646406
A100_MIG_3g40gb,67108864,16777216,32,4194304,459.024329,325.549169,452.753034
A100_MIG_3g40gb,83886080,20971520,32,4194304,459.048780,325.566511,564.722108
A100_MIG_3g40gb,100663296,25165824,32,4194304,459.029534,325.552861,673.026929
A100_MIG_3g40gb,117440512,29360128,32,4194304,459.041108,325.561069,772.960432
A100_MIG_3g40gb,134217728,33554432,32,4194304,459.049312,325.566888,849.393297
A100_MIG_3g40gb,1048576,262144,32,4194304,207.306416,147.025827,30.007325
A100_MIG_3g40gb,2097152,524288,32,4194304,207.262243,146.994499,30.200922
A100_MIG_3g40gb,3145728,786432,32,4194304,207.267576,146.998281,30.266009
A100_MIG_3g40gb,4194304,1048576,32,4194304,207.274585,147.003252,30.298660
A100_MIG_3g40gb,6291456,1572864,32,4194304,207.281700,147.008298,45.426988
A100_MIG_3g40gb,8388608,2097152,32,4194304,207.275582,147.003959,60.569318
A100_MIG_3g40gb,10485760,2621440,32,4194304,207.280621,147.007533,75.676676
A100_MIG_3g40gb,12582912,3145728,32,4194304,207.277102,147.005037,90.812011
A100_MIG_3g40gb,16777216,4194304,32,4194304,207.280885,147.007720,121.026780
A100_MIG_3g40gb,20971520,5242880,32,4194304,287.572980,203.952468,143.216786
A100_MIG_3g40gb,25165824,6291456,32,4194304,460.676292,326.720774,171.710046
A100_MIG_3g40gb,29360128,7340032,32,4194304,460.690198,326.730637,211.309074
A100_MIG_3g40gb,33554432,8388608,32,4194304,464.678298,329.559076,241.384898
A100_MIG_3g40gb,37748736,9437184,32,4194304,460.670472,326.716647,257.115954
A100_MIG_3g40gb,41943040,10485760,32,4194304,464.707266,329.579621,301.314938
A100_MIG_3g40gb,50331648,12582912,32,4194304,464.689765,329.567209,342.075679
A100_MIG_3g40gb,58720256,14680064,32,4194304,460.676080,326.720624,396.501309
A100_MIG_3g40gb,67108864,16777216,32,4194304,464.690315,329.567599,453.144354
A100_MIG_3g40gb,83886080,20971520,32,4194304,464.718301,329.587447,564.478901
A100_MIG_3g40gb,100663296,25165824,32,4194304,464.726517,329.593274,671.877005
A100_MIG_3g40gb,101711872,25427968,32,4194304,464.711156,329.582380,678.585852
A100_MIG_3g40gb,102760448,25690112,32,4194304,464.728272,329.594519,685.874443
A100_MIG_3g40gb,103809024,25952256,32,4194304,456.180649,323.532375,692.577312
A100_MIG_3g40gb,104857600,26214400,32,4194304,458.660453,325.291101,699.573043
A100_MIG_3g40gb,105906176,26476544,32,4194304,461.175425,327.074769,715.118433
A100_MIG_3g40gb,106954752,26738688,32,4194304,463.722613,328.881286,729.449154
A100_MIG_3g40gb,108003328,27000832,32,4194304,464.763101,329.619221,743.742602
A100_MIG_3g40gb,109051904,27262976,32,4194304,464.717879,329.587148,764.782776
A100_MIG_3g40gb,110100480,27525120,32,4194304,464.727594,329.594039,760.866877
A100_MIG_3g40gb,111149056,27787264,32,4194304,464.706479,329.579063,756.074871
A100_MIG_3g40gb,112197632,28049408,32,4194304,464.758344,329.615847,752.721327
A100_MIG_3g40gb,113246208,28311552,32,4194304,464.678589,329.559283,752.006803
A100_MIG_3g40gb,114294784,28573696,32,4194304,464.736162,329.600115,755.118790
A100_MIG_3g40gb,115343360,28835840,32,4194304,464.712903,329.583620,764.308727
A100_MIG_3g40gb,116391936,29097984,32,4194304,464.710225,329.581720,769.950870
A100_MIG_3g40gb,117440512,29360128,32,4194304,464.706477,329.579062,774.918885
A100_MIG_3g40gb,134217728,33554432,32,4194304,464.714002,329.584399,829.897930
