workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
stencil,A100_MIG_3g40gb,65536,V1,1,256,0.006144,298.666656,1,0.000000
stencil,A100_MIG_3g40gb,65536,V3,2,256,0.007168,255.999996,1,0.000000
stencil,A100_MIG_3g40gb,65536,V3,3,256,0.007168,255.999996,1,0.000000
stencil,A100_MIG_3g40gb,65536,V3,4,256,0.007168,255.999996,1,0.000000
stencil,A100_MIG_3g40gb,262144,V1,1,256,0.010752,682.666672,1,0.000000
stencil,A100_MIG_3g40gb,262144,V3,2,256,0.011264,651.636359,1,0.000000
stencil,A100_MIG_3g40gb,262144,V3,3,256,0.011264,651.636359,1,0.000000
stencil,A100_MIG_3g40gb,262144,V3,4,256,0.011264,651.636359,1,0.000000
stencil,A100_MIG_3g40gb,1048576,V1,1,256,0.027648,1061.925924,1,0.000000
stencil,A100_MIG_3g40gb,1048576,V3,2,256,0.030720,955.733357,1,0.000000
stencil,A100_MIG_3g40gb,1048576,V3,3,256,0.031744,924.903238,1,0.000000
stencil,A100_MIG_3g40gb,1048576,V3,4,256,0.030208,971.932204,1,0.000000
stencil,A100_MIG_3g40gb,4194304,V1,1,256,0.151040,777.545749,1,0.000000
stencil,A100_MIG_3g40gb,4194304,V3,2,256,0.163328,719.047025,1,0.000000
stencil,A100_MIG_3g40gb,4194304,V3,3,256,0.163328,719.047025,1,0.000000
stencil,A100_MIG_3g40gb,4194304,V3,4,256,0.161792,725.873406,1,0.000000
stencil,A100_MIG_3g40gb,16777216,V1,1,256,0.608768,771.660236,1,0.000000
stencil,A100_MIG_3g40gb,16777216,V3,2,256,0.649728,723.013396,1,0.000000
stencil,A100_MIG_3g40gb,16777216,V3,3,256,0.660480,711.243419,1,0.000000
stencil,A100_MIG_3g40gb,16777216,V3,4,256,0.643584,729.915658,1,0.000000
stencil,A100_MIG_3g40gb,67108864,V1,1,256,2.540032,739.773424,1,0.000000
stencil,A100_MIG_3g40gb,67108864,V3,2,256,2.641408,711.381252,1,0.000000
stencil,A100_MIG_3g40gb,67108864,V3,3,256,2.680320,701.053671,1,0.000000
stencil,A100_MIG_3g40gb,67108864,V3,4,256,2.649088,709.318927,1,0.000000
stencil,A100_MIG_3g40gb,65536,V1,1,256,0.007168,255.999996,1,0.000000
stencil,A100_MIG_3g40gb,65536,V3,2,256,0.007168,255.999996,1,0.000000
stencil,A100_MIG_3g40gb,65536,V3,3,256,0.007168,255.999996,1,0.000000
stencil,A100_MIG_3g40gb,65536,V3,4,256,0.007168,255.999996,1,0.000000
stencil,A100_MIG_3g40gb,262144,V1,1,256,0.010752,682.666672,1,0.000000
stencil,A100_MIG_3g40gb,262144,V3,2,256,0.012288,597.333312,1,0.000000
stencil,A100_MIG_3g40gb,262144,V3,3,256,0.011264,651.636359,1,0.000000
stencil,A100_MIG_3g40gb,262144,V3,4,256,0.011264,651.636359,1,0.000000
stencil,A100_MIG_3g40gb,1048576,V1,1,256,0.027648,1061.925924,1,0.000000
stencil,A100_MIG_3g40gb,1048576,V3,2,256,0.030720,955.733357,1,0.000000
stencil,A100_MIG_3g40gb,1048576,V3,3,256,0.030720,955.733357,1,0.000000
stencil,A100_MIG_3g40gb,1048576,V3,4,256,0.030720,955.733357,1,0.000000
stencil,A100_MIG_3g40gb,4194304,V1,1,256,0.150528,780.190482,1,0.000000
stencil,A100_MIG_3g40gb,4194304,V3,2,256,0.161792,725.873439,1,0.000000
stencil,A100_MIG_3g40gb,4194304,V3,3,256,0.163840,716.800018,1,0.000000
stencil,A100_MIG_3g40gb,4194304,V3,4,256,0.159744,735.179513,1,0.000000
stencil,A100_MIG_3g40gb,16777216,V1,1,256,0.607744,772.960432,1,0.000000
stencil,A100_MIG_3g40gb,16777216,V3,2,256,0.650752,721.875680,1,0.000000
stencil,A100_MIG_3g40gb,16777216,V3,3,256,0.659456,712.347810,1,0.000000
stencil,A100_MIG_3g40gb,16777216,V3,4,256,0.644608,728.756132,1,0.000000
stencil,A100_MIG_3g40gb,67108864,V1,1,256,2.496512,752.669420,1,0.000000
stencil,A100_MIG_3g40gb,67108864,V3,2,256,2.631680,714.010892,1,0.000000
stencil,A100_MIG_3g40gb,67108864,V3,3,256,2.653184,708.223869,1,0.000000
stencil,A100_MIG_3g40gb,67108864,V3,4,256,2.641920,711.243387,1,0.000000
