workload,gpu,problem_size,stage,tile_size,measured_speedup
gemm,A40,1024,1,16,1.000000
gemm,A40,1024,1,32,1.000000
gemm,A40,1024,1,64,1.000000
gemm,A40,1024,2,16,0.995327
gemm,A40,1024,2,32,1.000000
gemm,A40,1024,2,64,0.685366
gemm,A40,1024,3,16,0.998126
gemm,A40,1024,3,32,0.981215
gemm,A40,1024,3,64,0.623751
gemm,A40,1024,4,16,0.999531
gemm,A40,1024,4,32,0.966268
gemm,A40,2048,1,16,1.000000
gemm,A40,2048,1,32,1.000000
gemm,A40,2048,1,64,1.000000
gemm,A40,2048,2,16,0.984366
gemm,A40,2048,2,32,1.009660
gemm,A40,2048,2,64,0.630490
gemm,A40,2048,3,16,0.987939
gemm,A40,2048,3,32,0.992581
gemm,A40,2048,3,64,0.567196
gemm,A40,2048,4,16,0.988055
gemm,A40,2048,4,32,0.971391
gemm,A40,256,1,16,1.000000
gemm,A40,256,1,32,1.000000
gemm,A40,256,1,64,1.000000
gemm,A40,256,2,16,1.000000
gemm,A40,256,2,32,1.000000
gemm,A40,256,2,64,1.000000
gemm,A40,256,3,16,1.000000
gemm,A40,256,3,32,1.000000
gemm,A40,256,3,64,0.928571
gemm,A40,256,4,16,1.000000
gemm,A40,256,4,32,1.000000
gemm,A40,3072,1,16,1.000000
gemm,A40,3072,1,32,1.000000
gemm,A40,3072,1,64,1.000000
gemm,A40,3072,2,16,0.953004
gemm,A40,3072,2,32,1.037598
gemm,A40,3072,2,64,0.662451
gemm,A40,3072,3,16,0.973117
gemm,A40,3072,3,32,1.012184
gemm,A40,3072,3,64,0.590224
gemm,A40,3072,4,16,0.979414
gemm,A40,3072,4,32,0.997451
gemm,A40,4096,1,16,1.000000
gemm,A40,4096,1,32,1.000000
gemm,A40,4096,1,64,1.000000
gemm,A40,4096,2,16,0.979414
gemm,A40,4096,2,32,0.991201
gemm,A40,4096,2,64,0.681314
gemm,A40,4096,3,16,0.976041
gemm,A40,4096,3,32,0.980239
gemm,A40,4096,3,64,0.611749
gemm,A40,4096,4,16,0.979638
gemm,A40,4096,4,32,0.974311
gemm,A40,512,1,16,1.000000
gemm,A40,512,1,32,1.000000
gemm,A40,512,1,64,1.000000
gemm,A40,512,2,16,1.000000
gemm,A40,512,2,32,1.006494
gemm,A40,512,2,64,1.020408
gemm,A40,512,3,16,1.003300
gemm,A40,512,3,32,0.993590
gemm,A40,512,3,64,0.943396
gemm,A40,512,4,16,1.006623
gemm,A40,512,4,32,0.968750
gemm,A40,6144,1,16,1.000000
gemm,A40,6144,1,32,1.000000
gemm,A40,6144,1,64,1.000000
gemm,A40,6144,2,16,0.989423
gemm,A40,6144,2,32,0.999419
gemm,A40,6144,2,64,0.680964
gemm,A40,6144,3,16,0.988250
gemm,A40,6144,3,32,0.974807
gemm,A40,6144,3,64,0.610178
gemm,A40,6144,4,16,0.992691
gemm,A40,6144,4,32,0.964575
gemm,A40,8192,1,16,1.000000
gemm,A40,8192,1,32,1.000000
gemm,A40,8192,1,64,1.000000
gemm,A40,8192,2,16,0.977572
gemm,A40,8192,2,32,0.985153
gemm,A40,8192,2,64,0.690822
gemm,A40,8192,3,16,0.979461
gemm,A40,8192,3,32,0.964237
gemm,A40,8192,3,64,0.621598
gemm,A40,8192,4,16,0.980573
gemm,A40,8192,4,32,0.955094
stencil,A40,1048576,1,256,1.000000
stencil,A40,1048576,2,256,0.942857
stencil,A40,1048576,3,256,0.942857
stencil,A40,1048576,4,256,0.942857
stencil,A40,16777216,1,256,1.000000
stencil,A40,16777216,2,256,0.947257
stencil,A40,16777216,3,256,0.944269
stencil,A40,16777216,4,256,0.959402
stencil,A40,262144,1,256,1.000000
stencil,A40,262144,2,256,1.000000
stencil,A40,262144,3,256,1.000000
stencil,A40,262144,4,256,1.000000
stencil,A40,4194304,1,256,1.000000
stencil,A40,4194304,2,256,0.959016
stencil,A40,4194304,3,256,0.951220
stencil,A40,4194304,4,256,0.966942
stencil,A40,65536,1,256,1.000000
stencil,A40,65536,2,256,1.166667
stencil,A40,65536,3,256,1.166667
stencil,A40,65536,4,256,1.166667
stencil,A40,67108864,1,256,1.000000
stencil,A40,67108864,2,256,0.943366
stencil,A40,67108864,3,256,0.942114
stencil,A40,67108864,4,256,0.957366
