gpu,size_bytes,elements,stride,iterations,cycles_per_load,ns_per_load,stream_bandwidth_gbps
A40,1048576,262144,32,4194304,256.367320,147.337540,36.489977
A40,2097152,524288,32,4194304,256.353147,147.329395,36.859392
A40,3145728,786432,32,4194304,256.353216,147.329434,36.956391
A40,4194304,1048576,32,4194304,256.351203,147.328278,36.984199
A40,6291456,1572864,32,4194304,374.753023,215.375301,55.476298
A40,8388608,2097152,32,4194304,556.020261,319.551874,73.926678
A40,10485760,2621440,32,4194304,554.811294,318.857066,92.304225
A40,12582912,3145728,32,4194304,556.068036,319.579331,110.702702
A40,16777216,4194304,32,4194304,556.063425,319.576681,147.354690
A40,20971520,5242880,32,4194304,556.093323,319.593864,174.762671
A40,25165824,6291456,32,4194304,556.069186,319.579992,209.268761
A40,29360128,7340032,32,4194304,556.068146,319.579394,257.436596
A40,33554432,8388608,32,4194304,556.070292,319.580627,293.554315
A40,37748736,9437184,32,4194304,556.079135,319.585710,312.738063
A40,41943040,10485760,32,4194304,556.066116,319.578228,366.532440
A40,1048576,262144,32,4194304,256.361671,147.334294,36.571428
A40,2097152,524288,32,4194304,256.335174,147.319066,36.859392
A40,3145728,786432,32,4194304,256.321976,147.311481,36.984199
A40,4194304,1048576,32,4194304,256.324437,147.312895,37.005082
A40,6291456,1572864,32,4194304,377.028304,216.682933,55.476298
A40,8388608,2097152,32,4194304,555.986236,319.532319,73.926678
A40,10485760,2621440,32,4194304,554.879845,318.896463,92.356257
A40,12582912,3145728,32,4194304,556.099597,319.597469,110.827508
A40,16777216,4194304,32,4194304,556.000051,319.540259,147.686760
A40,20971520,5242880,32,4194304,556.020745,319.552152,174.762671
A40,25165824,6291456,32,4194304,556.020865,319.552221,209.603415
A40,29360128,7340032,32,4194304,556.020109,319.551787,257.725836
A40,33554432,8388608,32,4194304,556.028658,319.556700,294.048241
A40,37748736,9437184,32,4194304,556.046203,319.566784,312.572329
A40,41943040,10485760,32,4194304,556.042319,319.564551,366.327557
A40,50331648,12582912,32,4194304,556.060735,319.575135,416.101597
A40,58720256,14680064,32,4194304,556.054672,319.571651,484.426614
A40,67108864,16777216,32,4194304,556.078858,319.585551,549.856328
A40,83886080,20971520,32,4194304,556.088121,319.590874,685.164658
A40,100663296,25165824,32,4194304,556.094230,319.594385,819.200021
A40,101711872,25427968,32,4194304,556.085291,319.589248,826.442029
A40,102760448,25690112,32,4194304,556.087398,319.590458,836.702474
A40,103809024,25952256,32,4194304,556.090377,319.592171,845.680894
A40,104857600,26214400,32,4194304,556.073390,319.582408,852.889138
A40,105906176,26476544,32,4194304,556.087263,319.590381,818.794647
A40,106954752,26738688,32,4194304,554.917439,318.918069,837.258490
A40,108003328,27000832,32,4194304,556.083587,319.588269,854.456750
A40,109051904,27262976,32,4194304,556.079868,319.586131,876.059629
A40,110100480,27525120,32,4194304,556.079054,319.585663,891.357500
A40,111149056,27787264,32,4194304,556.078019,319.585068,920.351857
A40,112197632,28049408,32,4194304,556.080125,319.586279,881.391649
A40,113246208,28311552,32,4194304,556.082083,319.587404,876.844401
A40,114294784,28573696,32,4194304,556.081535,319.587089,862.732397
A40,115343360,28835840,32,4194304,556.082499,319.587643,867.713055
A40,116391936,29097984,32,4194304,556.089180,319.591483,877.290903
A40,117440512,29360128,32,4194304,556.078653,319.585433,888.623776
A40,134217728,33554432,32,4194304,556.099355,319.597330,759.287452
