workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,H100_SXM5,256,Ref,0,16,0.015760,2129.088343,1,0.000000
gemm,H100_SXM5,256,V1,1,16,0.018112,1852.607766,1,0.000023
gemm,H100_SXM5,256,V0,0,16,0.013504,2484.777267,1,0.000023
gemm,H100_SXM5,256,V3,2,16,0.018224,1841.222125,1,0.000023
gemm,H100_SXM5,256,V3,3,16,0.018704,1793.970922,1,0.000023
gemm,H100_SXM5,256,V3,4,16,0.018816,1783.292531,1,0.000023
gemm,H100_SXM5,256,Ref,0,32,0.015760,2129.088343,1,0.000000
gemm,H100_SXM5,256,V1,1,32,0.021168,1585.148899,1,0.000023
gemm,H100_SXM5,256,V0,0,32,0.013536,2478.903130,1,0.000023
gemm,H100_SXM5,256,V3,2,32,0.017696,1896.159064,1,0.000023
gemm,H100_SXM5,256,V3,3,32,0.017840,1880.853825,1,0.000023
gemm,H100_SXM5,256,V3,4,32,0.017744,1891.029749,1,0.000023
gemm,H100_SXM5,256,Ref,0,64,0.015760,2129.088343,1,0.000000
gemm,H100_SXM5,256,V1,1,64,0.025264,1328.151968,1,0.000023
gemm,H100_SXM5,256,V0,0,64,0.013552,2475.976421,1,0.000023
gemm,H100_SXM5,256,V3,2,64,0.025904,1295.337873,1,0.000023
gemm,H100_SXM5,256,V3,3,64,0.026032,1288.968615,1,0.000023
gemm,H100_SXM5,256,V3,4,64,0.024912,1346.918449,1,0.000023
gemm,H100_SXM5,256,Ref,0,128,0.015760,2129.088343,1,0.000000
gemm,H100_SXM5,256,V1,1,128,0.059728,561.787299,1,0.000023
gemm,H100_SXM5,256,V0,0,128,0.013440,2496.609457,1,0.000023
gemm,H100_SXM5,512,Ref,0,16,0.022192,12096.046426,1,0.000000
gemm,H100_SXM5,512,V1,1,16,0.071536,3752.452652,1,0.000069
gemm,H100_SXM5,512,V0,0,16,0.060544,4433.725226,1,0.000069
gemm,H100_SXM5,512,V3,2,16,0.074944,3581.813979,1,0.000069
