gpu,size_bytes,elements,stride,iterations,cycles_per_load,ns_per_load,stream_bandwidth_gbps
H100_SXM5,1048576,262144,32,4194304,263.944118,133.305110,37.824689
H100_SXM5,2097152,524288,32,4194304,273.621093,138.192471,38.141132
H100_SXM5,3145728,786432,32,4194304,276.948860,139.873162,38.244073
H100_SXM5,4194304,1048576,32,4194304,278.579763,140.696850,38.295053
H100_SXM5,4718592,1179648,32,4194304,279.033159,140.925838,43.074070
H100_SXM5,5242880,1310720,32,4194304,279.540587,141.182115,47.851339
H100_SXM5,5767168,1441792,32,4194304,279.806997,141.316665,52.639358
H100_SXM5,6291456,1572864,32,4194304,280.093152,141.461188,57.422658
H100_SXM5,6815744,1703936,32,4194304,280.352179,141.592010,62.215829
H100_SXM5,7340032,1835008,32,4194304,280.496258,141.664777,66.996768
H100_SXM5,7864320,1966080,32,4194304,280.759438,141.797696,71.787495
H100_SXM5,8388608,2097152,32,4194304,280.847028,141.841933,76.580317
H100_SXM5,10485760,2621440,32,4194304,281.348664,142.095285,95.660773
H100_SXM5,12582912,3145728,32,4194304,281.579544,142.211891,114.801309
H100_SXM5,14680064,3670016,32,4194304,281.808404,142.327477,133.859137
H100_SXM5,16777216,4194304,32,4194304,281.969842,142.409011,153.004198
H100_SXM5,17825792,4456448,32,4194304,282.027885,142.438326,160.277944
H100_SXM5,18874368,4718592,32,4194304,282.092103,142.470759,167.412039
H100_SXM5,19922944,4980736,32,4194304,282.150889,142.500449,174.380259
H100_SXM5,20971520,5242880,32,4194304,282.199553,142.525027,181.163789
H100_SXM5,22020096,5505024,32,4194304,283.220088,143.040448,190.149698
H100_SXM5,23068672,5767168,32,4194304,283.443431,143.153248,199.201011
H100_SXM5,24117248,6029312,32,4194304,284.660639,143.767999,208.277176
H100_SXM5,25165824,6291456,32,4194304,285.946353,144.417350,217.298926
H100_SXM5,27262976,6815744,32,4194304,305.338155,154.211189,241.637359
H100_SXM5,29360128,7340032,32,4194304,334.757139,169.069262,267.372074
H100_SXM5,33554432,8388608,32,4194304,376.524169,190.163722,305.429010
H100_SXM5,37748736,9437184,32,4194304,402.838047,203.453559,325.493089
H100_SXM5,41943040,10485760,32,4194304,421.562767,212.910488,380.705067
H100_SXM5,50331648,12582912,32,4194304,448.939080,226.736909,432.068404
H100_SXM5,58720256,14680064,32,4194304,496.797927,250.908044,503.371127
H100_SXM5,67108864,16777216,32,4194304,533.562548,269.476034,573.844901
H100_SXM5,83886080,20971520,32,4194304,575.310997,290.561110,715.190113
H100_SXM5,100663296,25165824,32,4194304,598.860302,302.454698,855.500290
H100_SXM5,101711872,25427968,32,4194304,600.016980,303.038879,865.220606
H100_SXM5,102760448,25690112,32,4194304,601.166099,303.619242,873.664760
H100_SXM5,103809024,25952256,32,4194304,602.147088,304.114691,883.135320
H100_SXM5,104857600,26214400,32,4194304,603.293272,304.693572,891.888941
H100_SXM5,105906176,26476544,32,4194304,604.241532,305.172491,909.581184
H100_SXM5,106954752,26738688,32,4194304,605.272608,305.693236,932.278768
H100_SXM5,108003328,27000832,32,4194304,606.192592,306.157875,952.729562
H100_SXM5,109051904,27262976,32,4194304,607.139933,306.636330,976.397654
H100_SXM5,110100480,27525120,32,4194304,608.101230,307.121834,972.962891
H100_SXM5,111149056,27787264,32,4194304,608.980809,307.566065,968.501084
H100_SXM5,112197632,28049408,32,4194304,609.931548,308.046237,966.221400
H100_SXM5,113246208,28311552,32,4194304,610.779250,308.474369,960.739530
H100_SXM5,114294784,28573696,32,4194304,611.624293,308.901158,967.419301
H100_SXM5,115343360,28835840,32,4194304,612.500500,309.343687,979.378476
H100_SXM5,116391936,29097984,32,4194304,613.247070,309.720742,986.389087
H100_SXM5,117440512,29360128,32,4194304,614.028214,310.115260,996.762176
H100_SXM5,134217728,33554432,32,4194304,624.775528,315.543196,1130.273571
