workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
stencil,H100_SXM5,65536,V1,1,256,0.006592,278.368926,1,0.000000
stencil,H100_SXM5,65536,V3,2,256,0.006848,267.962617,1,0.000000
stencil,H100_SXM5,65536,V3,3,256,0.006752,271.772504,1,0.000000
stencil,H100_SXM5,65536,V3,4,256,0.006832,268.590160,1,0.000000
stencil,H100_SXM5,262144,V1,1,256,0.009632,762.046530,1,0.000000
stencil,H100_SXM5,262144,V3,2,256,0.010304,712.347842,1,0.000000
stencil,H100_SXM5,262144,V3,3,256,0.010144,723.583600,1,0.000000
stencil,H100_SXM5,262144,V3,4,256,0.010336,710.142446,1,0.000000
stencil,H100_SXM5,1048576,V1,1,256,0.023376,1255.994518,1,0.000000
stencil,H100_SXM5,1048576,V3,2,256,0.025152,1167.307903,1,0.000000
stencil,H100_SXM5,1048576,V3,3,256,0.024592,1193.889392,1,0.000000
stencil,H100_SXM5,1048576,V3,4,256,0.024880,1180.069479,1,0.000000
stencil,H100_SXM5,4194304,V1,1,256,0.085040,1381.003209,1,0.000000
stencil,H100_SXM5,4194304,V3,2,256,0.090592,1296.367406,1,0.000000
stencil,H100_SXM5,4194304,V3,3,256,0.088128,1332.612919,1,0.000000
stencil,H100_SXM5,4194304,V3,4,256,0.089344,1314.475611,1,0.000000
stencil,H100_SXM5,16777216,V1,1,256,0.484448,969.685182,1,0.000000
stencil,H100_SXM5,16777216,V3,2,256,0.512112,917.303355,1,0.000000
stencil,H100_SXM5,16777216,V3,3,256,0.497936,943.418536,1,0.000000
stencil,H100_SXM5,16777216,V3,4,256,0.505328,929.618086,1,0.000000
stencil,H100_SXM5,67108864,V1,1,256,1.924640,976.311514,1,0.000000
stencil,H100_SXM5,67108864,V3,2,256,2.038784,921.651419,1,0.000000
stencil,H100_SXM5,67108864,V3,3,256,1.972176,952.779181,1,0.000000
stencil,H100_SXM5,67108864,V3,4,256,2.002992,938.120652,1,0.000000
