gpu,problem_size,tile_size,arithmetic_intensity,w_conc_over_l2,best_stage,best_pred_speedup
V100,256,16,4.000000,0.083333,1,1.000000
V100,512,16,4.000000,0.333333,1,1.000000
V100,1024,16,4.000000,0.833333,1,1.000000
V100,2048,16,4.000000,0.833333,1,1.000000
V100,3072,16,4.000000,0.833333,1,1.000000
V100,4096,16,4.000000,0.833333,1,1.000000
V100,6144,16,4.000000,0.833333,1,1.000000
V100,8192,16,4.000000,0.833333,1,1.000000
V100,256,32,8.000000,0.083333,1,1.000000
V100,512,32,8.000000,0.333333,1,1.000000
V100,1024,32,8.000000,1.250000,1,1.000000
V100,2048,32,8.000000,1.250000,1,1.000000
V100,3072,32,8.000000,1.250000,1,1.000000
V100,4096,32,8.000000,1.250000,1,1.000000
V100,6144,32,8.000000,1.250000,1,1.000000
V100,8192,32,8.000000,1.250000,1,1.000000
V100,256,64,16.000000,0.083333,1,1.000000
V100,512,64,16.000000,0.333333,1,1.000000
V100,1024,64,16.000000,1.250000,1,1.000000
V100,2048,64,16.000000,1.250000,1,1.000000
V100,3072,64,16.000000,1.250000,1,1.000000
V100,4096,64,16.000000,1.250000,1,1.000000
V100,6144,64,16.000000,1.250000,1,1.000000
V100,8192,64,16.000000,1.250000,1,1.000000
V100,256,128,32.000000,0.000000,2,1.000000
V100,512,128,32.000000,0.000000,2,1.000000
V100,1024,128,32.000000,0.000000,2,1.000000
V100,2048,128,32.000000,0.000000,2,1.000000
V100,3072,128,32.000000,0.000000,2,1.000000
V100,4096,128,32.000000,0.000000,2,1.000000
V100,6144,128,32.000000,0.000000,2,1.000000
V100,8192,128,32.000000,0.000000,2,1.000000
A40,256,16,4.000000,0.333333,4,2.449490
A40,512,16,4.000000,1.312500,4,2.449490
A40,1024,16,4.000000,1.312500,4,2.449490
A40,2048,16,4.000000,1.312500,4,2.449490
A40,3072,16,4.000000,1.312500,4,2.449490
A40,4096,16,4.000000,1.312500,4,2.449490
A40,6144,16,4.000000,1.312500,4,2.449490
A40,8192,16,4.000000,1.312500,4,2.449490
A40,256,32,8.000000,0.250000,3,1.732051
A40,512,32,8.000000,1.312500,4,2.000000
A40,1024,32,8.000000,1.312500,4,2.000000
A40,2048,32,8.000000,1.312500,4,2.000000
A40,3072,32,8.000000,1.312500,4,2.000000
A40,4096,32,8.000000,1.312500,4,2.000000
A40,6144,32,8.000000,1.312500,4,2.000000
A40,8192,32,8.000000,1.312500,4,2.000000
A40,256,64,16.000000,0.083333,1,1.000000
A40,512,64,16.000000,0.333333,1,1.000000
A40,1024,64,16.000000,1.312500,1,1.000000
A40,2048,64,16.000000,1.312500,1,1.000000
A40,3072,64,16.000000,1.312500,1,1.000000
A40,4096,64,16.000000,1.312500,1,1.000000
A40,6144,64,16.000000,1.312500,1,1.000000
A40,8192,64,16.000000,1.312500,1,1.000000
A40,256,128,32.000000,0.000000,1,0.000000
A40,512,128,32.000000,0.000000,1,0.000000
A40,1024,128,32.000000,0.000000,1,0.000000
A40,2048,128,32.000000,0.000000,1,0.000000
A40,3072,128,32.000000,0.000000,1,0.000000
A40,4096,128,32.000000,0.000000,1,0.000000
A40,6144,128,32.000000,0.000000,1,0.000000
A40,8192,128,32.000000,0.000000,1,0.000000
A100_MIG_3g40gb,256,16,4.000000,0.100000,4,3.162278
A100_MIG_3g40gb,512,16,4.000000,0.328125,4,3.162278
A100_MIG_3g40gb,1024,16,4.000000,0.328125,4,3.162278
A100_MIG_3g40gb,2048,16,4.000000,0.328125,4,3.162278
A100_MIG_3g40gb,3072,16,4.000000,0.328125,4,3.162278
A100_MIG_3g40gb,4096,16,4.000000,0.328125,4,3.162278
A100_MIG_3g40gb,6144,16,4.000000,0.328125,4,3.162278
A100_MIG_3g40gb,8192,16,4.000000,0.328125,4,3.162278
A100_MIG_3g40gb,256,32,8.000000,0.025000,1,1.000000
