workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,L40S,256,Ref,0,16,0.011264,2978.909068,1,0.000000
gemm,L40S,256,V1,1,16,0.014336,2340.571396,1,0.000029
gemm,L40S,256,V0,0,16,0.011744,2857.155309,1,0.000029
gemm,L40S,256,V3,2,16,0.015360,2184.533389,1,0.000029
gemm,L40S,256,V3,3,16,0.014832,2262.299854,1,0.000029
gemm,L40S,256,V3,4,16,0.014336,2340.571396,1,0.000029
gemm,L40S,256,Ref,0,32,0.011264,2978.909068,1,0.000000
gemm,L40S,256,V1,1,32,0.013312,2520.615413,1,0.000029
gemm,L40S,256,V0,0,32,0.011760,2853.267993,1,0.000029
gemm,L40S,256,V3,2,32,0.013312,2520.615413,1,0.000029
gemm,L40S,256,V3,3,32,0.013344,2514.570726,1,0.000029
gemm,L40S,256,V3,4,32,0.013312,2520.615413,1,0.000029
gemm,L40S,256,Ref,0,64,0.011264,2978.909068,1,0.000000
gemm,L40S,256,V1,1,64,0.018432,1820.444380,1,0.000029
gemm,L40S,256,V0,0,64,0.011776,2849.391241,1,0.000029
gemm,L40S,256,V3,2,64,0.019440,1726.051034,1,0.000029
gemm,L40S,256,V3,3,64,0.020480,1638.400041,1,0.000029
gemm,L40S,256,Ref,0,128,0.011264,2978.909068,1,0.000000
gemm,L40S,512,Ref,0,16,0.018432,14563.555040,1,0.000000
gemm,L40S,512,V1,1,16,0.069632,3855.058756,1,0.000069
gemm,L40S,512,V0,0,16,0.060400,4444.295504,1,0.000069
gemm,L40S,512,V3,2,16,0.070656,3799.188321,1,0.000069
gemm,L40S,512,V3,3,16,0.069632,3855.058756,1,0.000069
gemm,L40S,512,V3,4,16,0.069632,3855.058756,1,0.000069
gemm,L40S,512,Ref,0,32,0.018432,14563.555040,1,0.000000
gemm,L40S,512,V1,1,32,0.030720,8738.133554,1,0.000069
gemm,L40S,512,V0,0,32,0.060416,4443.118510,1,0.000069
gemm,L40S,512,V3,2,32,0.030720,8738.133554,1,0.000069
gemm,L40S,512,V3,3,32,0.031744,8456.258179,1,0.000069
gemm,L40S,512,V3,4,32,0.031200,8603.700746,1,0.000069
gemm,L40S,512,Ref,0,64,0.018432,14563.555040,1,0.000000
gemm,L40S,512,V1,1,64,0.034816,7710.117512,1,0.000069
gemm,L40S,512,V0,0,64,0.060416,4443.118510,1,0.000069
gemm,L40S,512,V3,2,64,0.034816,7710.117512,1,0.000069
gemm,L40S,512,V3,3,64,0.038912,6898.526622,1,0.000069
gemm,L40S,512,Ref,0,128,0.018432,14563.555040,1,0.000000
gemm,L40S,1024,Ref,0,16,0.074752,28728.108454,1,0.000000
gemm,L40S,1024,V1,1,16,0.451584,4755.446593,1,0.000481
gemm,L40S,1024,V0,0,16,0.392688,5468.676441,1,0.000481
gemm,L40S,1024,V3,2,16,0.458720,4681.469425,1,0.000481
gemm,L40S,1024,V3,3,16,0.453632,4733.977457,1,0.000481
gemm,L40S,1024,V3,4,16,0.452608,4744.687895,1,0.000481
gemm,L40S,1024,Ref,0,32,0.074752,28728.108454,1,0.000000
gemm,L40S,1024,V1,1,32,0.212992,10082.461652,1,0.000481
gemm,L40S,1024,V0,0,32,0.392192,5475.592604,1,0.000481
gemm,L40S,1024,V3,2,32,0.215056,9985.695013,1,0.000481
gemm,L40S,1024,V3,3,32,0.218112,9845.783731,1,0.000481
gemm,L40S,1024,V3,4,32,0.219072,9802.638324,1,0.000481
gemm,L40S,1024,Ref,0,64,0.074752,28728.108454,1,0.000000
gemm,L40S,1024,V1,1,64,0.114688,18724.571172,1,0.000481
gemm,L40S,1024,V0,0,64,0.393136,5462.444745,1,0.000481
gemm,L40S,1024,V3,2,64,0.132608,16194.224370,1,0.000481
gemm,L40S,1024,V3,3,64,0.142336,15087.424881,1,0.000481
gemm,L40S,1024,Ref,0,128,0.074752,28728.108454,1,0.000000
gemm,L40S,2048,Ref,0,16,0.384512,44679.668933,1,0.000000
gemm,L40S,2048,V1,1,16,3.502080,4905.618764,1,0.003052
gemm,L40S,2048,V0,0,16,3.070976,5594.270056,1,0.003052
gemm,L40S,2048,V3,2,16,3.547136,4843.307066,1,0.003052
gemm,L40S,2048,V3,3,16,3.528656,4868.672139,1,0.003052
gemm,L40S,2048,V3,4,16,3.526656,4871.433338,1,0.003052
gemm,L40S,2048,Ref,0,32,0.384512,44679.668933,1,0.000000
gemm,L40S,2048,V1,1,32,1.555968,11041.273776,1,0.003052
gemm,L40S,2048,V0,0,32,3.070976,5594.270056,1,0.003052
gemm,L40S,2048,V3,2,32,1.571328,10933.343454,1,0.003052
gemm,L40S,2048,V3,3,32,1.637840,10489.345399,1,0.003052
gemm,L40S,2048,V3,4,32,1.603072,10716.841588,1,0.003052
gemm,L40S,2048,Ref,0,64,0.384512,44679.668933,1,0.000000
gemm,L40S,2048,V1,1,64,0.937984,18315.738192,1,0.003052
gemm,L40S,2048,V0,0,64,3.056128,5621.449662,1,0.003052
gemm,L40S,2048,V3,2,64,0.983040,17476.267108,1,0.003052
gemm,L40S,2048,V3,3,64,1.085440,15827.561686,1,0.003052
gemm,L40S,2048,Ref,0,128,0.384512,44679.668933,1,0.000000
gemm,L40S,3072,Ref,0,16,1.222656,47423.034727,1,0.000000
gemm,L40S,3072,V1,1,16,12.220416,4744.687756,1,0.000000
gemm,L40S,3072,V0,0,16,11.079680,5233.188700,1,0.000000
gemm,L40S,3072,V3,2,16,12.535280,4625.509557,1,0.000000
gemm,L40S,3072,V3,3,16,12.477440,4646.951542,1,0.000000
gemm,L40S,3072,V3,4,16,12.332032,4701.744006,1,0.000000
gemm,L40S,3072,Ref,0,32,1.222656,47423.034727,1,0.000000
gemm,L40S,3072,V1,1,32,5.091328,11388.395494,1,0.000000
gemm,L40S,3072,V0,0,32,11.394560,5088.573776,1,0.000000
gemm,L40S,3072,V3,2,32,5.284864,10971.343644,1,0.000000
gemm,L40S,3072,V3,3,32,5.490176,10561.056493,1,0.000000
gemm,L40S,3072,V3,4,32,5.483008,10574.863190,1,0.000000
gemm,L40S,3072,Ref,0,64,1.222656,47423.034727,1,0.000000
gemm,L40S,3072,V1,1,64,2.692096,21537.886689,1,0.000000
gemm,L40S,3072,V0,0,64,11.196928,5178.389856,1,0.000000
gemm,L40S,3072,V3,2,64,4.208160,13778.482650,1,0.000000
gemm,L40S,3072,V3,3,64,4.528128,12804.862542,1,0.000000
gemm,L40S,3072,Ref,0,128,1.222656,47423.034727,1,0.000000
gemm,L40S,4096,Ref,0,16,2.618368,52490.313881,1,0.000000
gemm,L40S,4096,V1,1,16,28.964336,4745.109696,1,0.000000
gemm,L40S,4096,V0,0,16,26.205184,5244.723852,1,0.000000
gemm,L40S,4096,V3,2,16,30.243840,4544.361843,1,0.000000
gemm,L40S,4096,V3,3,16,29.579776,4646.382527,1,0.000000
gemm,L40S,4096,V3,4,16,29.341184,4684.165269,1,0.000000
gemm,L40S,4096,Ref,0,32,2.618368,52490.313881,1,0.000000
gemm,L40S,4096,V1,1,32,12.560384,10942.257474,1,0.000000
gemm,L40S,4096,V0,0,32,26.688000,5149.840935,1,0.000000
gemm,L40S,4096,V3,2,32,12.464640,11026.307794,1,0.000000
gemm,L40S,4096,V3,3,32,12.638208,10874.876757,1,0.000000
gemm,L40S,4096,V3,4,32,12.558848,10943.595664,1,0.000000
gemm,L40S,4096,Ref,0,64,2.618368,52490.313881,1,0.000000
gemm,L40S,4096,V1,1,64,6.412800,21431.972289,1,0.000000
gemm,L40S,4096,V0,0,64,26.718720,5143.919740,1,0.000000
gemm,L40S,4096,V3,2,64,8.008704,17161.198425,1,0.000000
gemm,L40S,4096,V3,3,64,8.700416,15796.825356,1,0.000000
gemm,L40S,4096,Ref,0,128,2.618368,52490.313881,1,0.000000
gemm,L40S,6144,Ref,0,16,9.856512,47060.914113,1,0.000000
gemm,L40S,6144,V1,1,16,112.647171,4117.781776,1,0.000000
gemm,L40S,6144,V0,0,16,126.261246,3673.783395,1,0.000000
gemm,L40S,6144,V3,2,16,116.776451,3972.174728,1,0.000000
gemm,L40S,6144,V3,3,16,117.433857,3949.938118,1,0.000000
gemm,L40S,6144,V3,4,16,115.955715,4000.289828,1,0.000000
gemm,L40S,6144,Ref,0,32,9.856512,47060.914113,1,0.000000
gemm,L40S,6144,V1,1,32,51.795456,8955.543679,1,0.000000
gemm,L40S,6144,V0,0,32,126.380547,3670.315413,1,0.000000
gemm,L40S,6144,V3,2,32,52.808191,8783.797675,1,0.000000
gemm,L40S,6144,V3,3,32,54.297087,8542.934732,1,0.000000
gemm,L40S,6144,V3,4,32,52.305407,8868.231764,1,0.000000
gemm,L40S,6144,Ref,0,64,9.856512,47060.914113,1,0.000000
gemm,L40S,6144,V1,1,64,27.483647,16877.544022,1,0.000000
gemm,L40S,6144,V0,0,64,126.468609,3667.759709,1,0.000000
gemm,L40S,6144,V3,2,64,33.382912,13895.027264,1,0.000000
gemm,L40S,6144,V3,3,64,36.161535,12827.344431,1,0.000000
gemm,L40S,6144,Ref,0,128,9.856512,47060.914113,1,0.000000
gemm,L40S,8192,Ref,0,16,25.281024,43491.578058,1,0.000000
gemm,L40S,8192,V1,1,16,307.090439,3580.416349,1,0.000000
gemm,L40S,8192,V0,0,16,340.695541,3227.255700,1,0.000000
gemm,L40S,8192,V3,2,16,310.484482,3541.277237,1,0.000000
gemm,L40S,8192,V3,3,16,310.009857,3546.698927,1,0.000000
gemm,L40S,8192,V3,4,16,309.471741,3552.866007,1,0.000000
gemm,L40S,8192,Ref,0,32,25.281024,43491.578058,1,0.000000
gemm,L40S,8192,V1,1,32,128.809479,8535.952776,1,0.000000
gemm,L40S,8192,V0,0,32,340.891632,3225.399289,1,0.000000
gemm,L40S,8192,V3,2,32,132.905991,8272.852283,1,0.000000
gemm,L40S,8192,V3,3,32,135.075325,8139.988763,1,0.000000
gemm,L40S,8192,V3,4,32,131.306503,8373.626593,1,0.000000
gemm,L40S,8192,Ref,0,64,25.281024,43491.578058,1,0.000000
gemm,L40S,8192,V1,1,64,68.877312,15963.335394,1,0.000000
gemm,L40S,8192,V0,0,64,341.006836,3224.309638,1,0.000000
gemm,L40S,8192,V3,2,64,81.340416,13517.408472,1,0.000000
gemm,L40S,8192,V3,3,64,87.630814,12547.089119,1,0.000000
gemm,L40S,8192,Ref,0,128,25.281024,43491.578058,1,0.000000
