workload,gpu,problem_size,stage,tile_size,measured_speedup
gemm,L40S,1024,1,16,1.000000
gemm,L40S,1024,1,32,1.000000
gemm,L40S,1024,1,64,1.000000
gemm,L40S,1024,2,16,0.984444
gemm,L40S,1024,2,32,0.990402
gemm,L40S,1024,2,64,0.864865
gemm,L40S,1024,3,16,0.995485
gemm,L40S,1024,3,32,0.976526
gemm,L40S,1024,3,64,0.805755
gemm,L40S,1024,4,16,0.997738
gemm,L40S,1024,4,32,0.972247
gemm,L40S,2048,1,16,1.000000
gemm,L40S,2048,1,32,1.000000
gemm,L40S,2048,1,64,1.000000
gemm,L40S,2048,2,16,0.987298
gemm,L40S,2048,2,32,0.990225
gemm,L40S,2048,2,64,0.954167
gemm,L40S,2048,3,16,0.992469
gemm,L40S,2048,3,32,0.950012
gemm,L40S,2048,3,64,0.864151
gemm,L40S,2048,4,16,0.993031
gemm,L40S,2048,4,32,0.970616
gemm,L40S,256,1,16,1.000000
gemm,L40S,256,1,32,1.000000
gemm,L40S,256,1,64,1.000000
gemm,L40S,256,2,16,0.933333
gemm,L40S,256,2,32,1.000000
gemm,L40S,256,2,64,0.948148
gemm,L40S,256,3,16,0.966559
gemm,L40S,256,3,32,0.997602
gemm,L40S,256,3,64,0.900000
gemm,L40S,256,4,16,1.000000
gemm,L40S,256,4,32,1.000000
gemm,L40S,3072,1,16,1.000000
gemm,L40S,3072,1,32,1.000000
gemm,L40S,3072,1,64,1.000000
gemm,L40S,3072,2,16,0.974882
gemm,L40S,3072,2,32,0.963379
gemm,L40S,3072,2,64,0.639732
gemm,L40S,3072,3,16,0.979401
gemm,L40S,3072,3,32,0.927352
gemm,L40S,3072,3,64,0.594527
gemm,L40S,3072,4,16,0.990949
gemm,L40S,3072,4,32,0.928565
gemm,L40S,4096,1,16,1.000000
gemm,L40S,4096,1,32,1.000000
gemm,L40S,4096,1,64,1.000000
gemm,L40S,4096,2,16,0.957694
gemm,L40S,4096,2,32,1.007681
gemm,L40S,4096,2,64,0.800729
gemm,L40S,4096,3,16,0.979194
gemm,L40S,4096,3,32,0.993842
gemm,L40S,4096,3,64,0.737068
gemm,L40S,4096,4,16,0.987156
gemm,L40S,4096,4,32,1.000122
gemm,L40S,512,1,16,1.000000
gemm,L40S,512,1,32,1.000000
gemm,L40S,512,1,64,1.000000
gemm,L40S,512,2,16,0.985507
gemm,L40S,512,2,32,1.000000
gemm,L40S,512,2,64,1.000000
gemm,L40S,512,3,16,1.000000
gemm,L40S,512,3,32,0.967742
gemm,L40S,512,3,64,0.894737
gemm,L40S,512,4,16,1.000000
gemm,L40S,512,4,32,0.984615
gemm,L40S,6144,1,16,1.000000
gemm,L40S,6144,1,32,1.000000
gemm,L40S,6144,1,64,1.000000
gemm,L40S,6144,2,16,0.964639
gemm,L40S,6144,2,32,0.980822
gemm,L40S,6144,2,64,0.823285
gemm,L40S,6144,3,16,0.959239
gemm,L40S,6144,3,32,0.953927
gemm,L40S,6144,3,64,0.760024
gemm,L40S,6144,4,16,0.971467
gemm,L40S,6144,4,32,0.990251
gemm,L40S,8192,1,16,1.000000
gemm,L40S,8192,1,32,1.000000
gemm,L40S,8192,1,64,1.000000
gemm,L40S,8192,2,16,0.989069
gemm,L40S,8192,2,32,0.969177
gemm,L40S,8192,2,64,0.846778
gemm,L40S,8192,3,16,0.990583
gemm,L40S,8192,3,32,0.953612
gemm,L40S,8192,3,64,0.785994
gemm,L40S,8192,4,16,0.992305
gemm,L40S,8192,4,32,0.980983
stencil,L40S,1048576,1,256,1.000000
stencil,L40S,1048576,2,256,0.945813
stencil,L40S,1048576,3,256,0.900000
stencil,L40S,1048576,4,256,0.924559
stencil,L40S,16777216,1,256,1.000000
stencil,L40S,16777216,2,256,0.948052
stencil,L40S,16777216,3,256,0.953003
stencil,L40S,16777216,4,256,0.963061
stencil,L40S,262144,1,256,1.000000
stencil,L40S,262144,2,256,0.933594
stencil,L40S,262144,3,256,0.933594
stencil,L40S,262144,4,256,1.066964
stencil,L40S,4194304,1,256,1.000000
stencil,L40S,4194304,2,256,0.931818
stencil,L40S,4194304,3,256,0.931818
stencil,L40S,4194304,4,256,0.946154
stencil,L40S,65536,1,256,1.000000
stencil,L40S,65536,2,256,0.900000
stencil,L40S,65536,3,256,0.900000
stencil,L40S,65536,4,256,0.900000
stencil,L40S,67108864,1,256,1.000000
stencil,L40S,67108864,2,256,0.945454
stencil,L40S,67108864,3,256,0.952271
stencil,L40S,67108864,4,256,0.964333
