gpu,size_bytes,elements,stride,iterations,cycles_per_load,ns_per_load,stream_bandwidth_gbps
L40S,1048576,262144,32,4194304,286.993282,113.886223,44.643052
L40S,2097152,524288,32,4194304,290.726340,115.367595,44.887669
L40S,3145728,786432,32,4194304,291.838231,115.808822,45.052244
L40S,4194304,1048576,32,4194304,292.399579,116.031579,45.103923
L40S,4718592,1179648,32,4194304,292.557169,116.094115,50.741913
L40S,5242880,1310720,32,4194304,292.686582,116.145469,56.341127
L40S,5767168,1441792,32,4194304,292.777203,116.181430,61.975240
L40S,6291456,1572864,32,4194304,292.873147,116.219503,67.609353
L40S,6815744,1703936,32,4194304,292.961982,116.254755,73.243466
L40S,7340032,1835008,32,4194304,293.024842,116.279699,78.877578
L40S,7864320,1966080,32,4194304,293.089800,116.305476,84.511691
L40S,8388608,2097152,32,4194304,293.138340,116.324738,90.145804
L40S,10485760,2621440,32,4194304,293.290567,116.385146,112.604809
L40S,12582912,3145728,32,4194304,293.383740,116.422119,135.128680
L40S,14680064,3670016,32,4194304,293.449594,116.448252,157.646733
L40S,16777216,4194304,32,4194304,293.502106,116.469090,180.167695
L40S,17825792,4456448,32,4194304,293.525788,116.478487,188.704614
L40S,18874368,4718592,32,4194304,293.547961,116.487286,197.133692
L40S,19922944,4980736,32,4194304,293.562295,116.492974,205.340367
L40S,20971520,5242880,32,4194304,293.577203,116.498890,213.333326
L40S,22020096,5505024,32,4194304,293.586127,116.502431,223.854269
L40S,23068672,5767168,32,4194304,293.586584,116.502613,234.513997
L40S,24117248,6029312,32,4194304,293.598671,116.507409,245.019282
L40S,25165824,6291456,32,4194304,293.609573,116.511735,255.833451
L40S,27262976,6815744,32,4194304,293.633698,116.521309,284.368492
L40S,29360128,7340032,32,4194304,293.644625,116.525645,314.644710
L40S,33554432,8388608,32,4194304,293.675929,116.538067,359.101356
L40S,37748736,9437184,32,4194304,294.801583,116.984755,382.754062
L40S,41943040,10485760,32,4194304,295.698709,117.340757,447.650282
L40S,50331648,12582912,32,4194304,297.044325,117.874732,508.688223
L40S,58720256,14680064,32,4194304,298.012926,118.259098,589.655537
L40S,67108864,16777216,32,4194304,298.737815,118.546752,673.459224
L40S,83886080,20971520,32,4194304,299.749408,118.948178,845.625782
L40S,100663296,25165824,32,4194304,303.449484,120.416462,1010.188837
L40S,101711872,25427968,32,4194304,313.610083,124.448446,1020.711637
L40S,102760448,25690112,32,4194304,323.350436,128.313665,1030.572536
L40S,103809024,25952256,32,4194304,332.912389,132.108091,1041.088582
L40S,104857600,26214400,32,4194304,341.897603,135.673652,1052.956316
L40S,105906176,26476544,32,4194304,350.611656,139.131610,1074.535087
L40S,106954752,26738688,32,4194304,359.139001,142.515476,1101.626876
L40S,108003328,27000832,32,4194304,367.483358,145.826729,1126.536717
L40S,109051904,27262976,32,4194304,375.717345,149.094185,1153.646617
L40S,110100480,27525120,32,4194304,383.639845,152.238034,1150.715738
L40S,111149056,27787264,32,4194304,391.440165,155.333399,1146.339266
L40S,112197632,28049408,32,4194304,399.034153,158.346886,1139.108541
L40S,113246208,28311552,32,4194304,406.522918,161.318618,1137.192821
L40S,114294784,28573696,32,4194304,412.890980,163.845627,1147.722384
L40S,115343360,28835840,32,4194304,419.256974,166.371815,1158.996810
L40S,116391936,29097984,32,4194304,425.460562,168.833556,1166.555741
L40S,117440512,29360128,32,4194304,431.703541,171.310929,1180.828860
L40S,134217728,33554432,32,4194304,501.407131,198.971084,1316.479579
