workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
stencil,L40S,65536,V1,1,256,0.004608,398.222228,1,0.000000
stencil,L40S,65536,V3,2,256,0.005120,358.400009,1,0.000000
stencil,L40S,65536,V3,3,256,0.005120,358.400009,1,0.000000
stencil,L40S,65536,V3,4,256,0.005120,358.400009,1,0.000000
stencil,L40S,262144,V1,1,256,0.007648,959.732185,1,0.000000
stencil,L40S,262144,V3,2,256,0.008192,896.000002,1,0.000000
stencil,L40S,262144,V3,3,256,0.008192,896.000002,1,0.000000
stencil,L40S,262144,V3,4,256,0.007168,1023.999986,1,0.000000
stencil,L40S,1048576,V1,1,256,0.018432,1592.888833,1,0.000000
stencil,L40S,1048576,V3,2,256,0.019488,1506.574761,1,0.000000
stencil,L40S,1048576,V3,3,256,0.020480,1433.600036,1,0.000000
stencil,L40S,1048576,V3,4,256,0.019936,1472.719101,1,0.000000
stencil,L40S,4194304,V1,1,256,0.062976,1864.845559,1,0.000000
stencil,L40S,4194304,V3,2,256,0.067584,1737.696956,1,0.000000
stencil,L40S,4194304,V3,3,256,0.067584,1737.696956,1,0.000000
stencil,L40S,4194304,V3,4,256,0.066560,1764.430764,1,0.000000
stencil,L40S,16777216,V1,1,256,0.373760,1256.854745,1,0.000000
stencil,L40S,16777216,V3,2,256,0.394240,1191.563661,1,0.000000
stencil,L40S,16777216,V3,3,256,0.392192,1197.785882,1,0.000000
stencil,L40S,16777216,V3,4,256,0.388096,1210.427426,1,0.000000
stencil,L40S,67108864,V1,1,256,1.481216,1268.584900,1,0.000000
stencil,L40S,67108864,V3,2,256,1.566672,1199.388359,1,0.000000
stencil,L40S,67108864,V3,3,256,1.555456,1208.036834,1,0.000000
stencil,L40S,67108864,V3,4,256,1.536000,1223.338656,1,0.000000
