workload,gpu,problem_size,tile_size,stage,valid,reason,pred_speedup,arithmetic_intensity,w_block_bytes,w_conc_bytes,w_conc_over_l2,hit_fraction,l_eff_cycles,t_compute_cycles,s_min,occ_ratio,occ_ratio_raw,blocks_per_sm,concurrent_blocks,b_active
gemm,A40,2048,64,1,True,ok,1.000000,16.000000,32768.0,8257536.0,1.312500,0.761905,291.905,225.206,2,1.000000,1.000000,3,252,252
gemm,A40,2048,64,2,True,ok,0.577350,16.000000,32768.0,5505024.0,0.875000,1.000000,180.000,225.206,1,0.577350,0.333333,1,84,84
gemm,A40,2048,64,3,True,ok,0.748344,16.000000,32768.0,8257536.0,1.312500,0.761905,291.905,225.206,2,0.577350,0.333333,1,84,84
gemm,A40,2048,64,4,False,stage_exceeds_smem,0.000000,16.000000,32768.0,0.0,0.000000,0.000000,0.000,0.000,0,0.000000,0.000000,0,0,0
gemm,A100_MIG_3g40gb,2048,64,1,True,ok,1.000000,16.000000,32768.0,6881280.0,0.328125,1.000000,160.000,510.663,1,1.000000,1.000000,5,210,210
gemm,A100_MIG_3g40gb,2048,64,2,True,ok,0.632456,16.000000,32768.0,5505024.0,0.262500,1.000000,160.000,510.663,1,0.632456,0.400000,2,84,84
gemm,A100_MIG_3g40gb,2048,64,3,True,ok,0.447214,16.000000,32768.0,4128768.0,0.196875,1.000000,160.000,510.663,1,0.447214,0.200000,1,42,42
gemm,A100_MIG_3g40gb,2048,64,4,True,ok,0.447214,16.000000,32768.0,5505024.0,0.262500,1.000000,160.000,510.663,1,0.447214,0.200000,1,42,42
gemm,H100_SXM5,2048,64,1,True,ok,1.000000,16.000000,32768.0,30277632.0,0.577500,1.000000,140.000,232.408,1,1.000000,1.000000,7,924,924
gemm,H100_SXM5,2048,64,2,True,ok,0.654654,16.000000,32768.0,25952256.0,0.495000,1.000000,140.000,232.408,1,0.654654,0.428571,3,396,396
gemm,H100_SXM5,2048,64,3,True,ok,0.534522,16.000000,32768.0,25952256.0,0.495000,1.000000,140.000,232.408,1,0.534522,0.285714,2,264,264
gemm,H100_SXM5,2048,64,4,True,ok,0.377964,16.000000,32768.0,17301504.0,0.330000,1.000000,140.000,232.408,1,0.377964,0.142857,1,132,132
