workload,gpu,problem_size,tile_size,stage,valid,reason,pred_speedup,arithmetic_intensity,w_block_bytes,w_conc_bytes,w_conc_over_l2,hit_fraction,l_eff_cycles,t_compute_cycles,s_min,occ_ratio,occ_ratio_raw,blocks_per_sm,concurrent_blocks,b_active
gemm,A40,2048,32,1,True,ok,1.000000,8.000000,8192.0,8257536.0,1.312500,0.761905,291.905,56.301,6,1.000000,1.000000,12,1008,1008
gemm,A40,2048,32,2,True,ok,1.414214,8.000000,8192.0,8257536.0,1.312500,0.761905,291.905,56.301,6,0.707107,0.500000,6,504,504
gemm,A40,2048,32,3,True,ok,1.732051,8.000000,8192.0,8257536.0,1.312500,0.761905,291.905,56.301,6,0.577350,0.333333,4,336,336
gemm,A40,2048,32,4,True,ok,2.000000,8.000000,8192.0,8257536.0,1.312500,0.761905,291.905,56.301,6,0.500000,0.250000,3,252,252
gemm,A100_MIG_3g40gb,2048,32,1,True,ok,1.000000,8.000000,8192.0,6881280.0,0.328125,1.000000,160.000,127.666,2,1.000000,1.000000,20,840,840
gemm,A100_MIG_3g40gb,2048,32,2,True,ok,0.886197,8.000000,8192.0,6881280.0,0.328125,1.000000,160.000,127.666,2,0.707107,0.500000,10,420,420
gemm,A100_MIG_3g40gb,2048,32,3,True,ok,0.686445,8.000000,8192.0,6193152.0,0.295312,1.000000,160.000,127.666,2,0.547723,0.300000,6,252,252
gemm,A100_MIG_3g40gb,2048,32,4,True,ok,0.626636,8.000000,8192.0,6881280.0,0.328125,1.000000,160.000,127.666,2,0.500000,0.250000,5,210,210
gemm,H100_SXM5,2048,32,1,True,ok,1.000000,8.000000,8192.0,30277632.0,0.577500,1.000000,140.000,58.102,3,1.000000,1.000000,28,3696,3696
gemm,H100_SXM5,2048,32,2,True,ok,1.414214,8.000000,8192.0,30277632.0,0.577500,1.000000,140.000,58.102,3,0.707107,0.500000,14,1848,1848
gemm,H100_SXM5,2048,32,3,True,ok,1.366088,8.000000,8192.0,29196288.0,0.556875,1.000000,140.000,58.102,3,0.566947,0.321429,9,1188,1188
gemm,H100_SXM5,2048,32,4,True,ok,1.204776,8.000000,8192.0,30277632.0,0.577500,1.000000,140.000,58.102,3,0.500000,0.250000,7,924,924
