workload,gpu,problem_size,tile_size,stage,valid,reason,pred_speedup,arithmetic_intensity,w_block_bytes,w_conc_bytes,w_conc_over_l2,hit_fraction,l_eff_cycles,t_compute_cycles,s_min,occ_ratio,occ_ratio_raw,blocks_per_sm,concurrent_blocks,b_active
stencil,A40,4194304,1024,1,True,ok,1.000000,5.000000,4112.0,8289792.0,1.317627,0.758940,293.298,17.594,17,1.000000,1.000000,24,2016,2016
stencil,A40,4194304,1024,2,True,ok,1.414214,5.000000,4112.0,8289792.0,1.317627,0.758940,293.298,17.594,17,0.707107,0.500000,12,1008,1008
stencil,A40,4194304,1024,3,True,ok,1.732051,5.000000,4112.0,8289792.0,1.317627,0.758940,293.298,17.594,17,0.577350,0.333333,8,672,672
stencil,A40,4194304,1024,4,True,ok,2.000000,5.000000,4112.0,8289792.0,1.317627,0.758940,293.298,17.594,17,0.500000,0.250000,6,504,504
stencil,A100_MIG_3g40gb,4194304,1024,1,True,ok,1.000000,5.000000,4112.0,5526528.0,0.263525,1.000000,160.000,39.896,5,1.000000,1.000000,32,1344,1344
stencil,A100_MIG_3g40gb,4194304,1024,2,True,ok,1.581139,5.000000,4112.0,6908160.0,0.329407,1.000000,160.000,39.896,5,0.790569,0.625000,20,840,840
stencil,A100_MIG_3g40gb,4194304,1024,3,True,ok,1.912132,5.000000,4112.0,6735456.0,0.321172,1.000000,160.000,39.896,5,0.637377,0.406250,13,546,546
stencil,A100_MIG_3g40gb,4194304,1024,4,True,ok,2.236068,5.000000,4112.0,6908160.0,0.329407,1.000000,160.000,39.896,5,0.559017,0.312500,10,420,420
stencil,H100_SXM5,4194304,1024,1,True,ok,1.000000,5.000000,4112.0,16842752.0,0.321250,1.000000,140.000,18.157,8,1.000000,1.000000,32,4096,4224
stencil,H100_SXM5,4194304,1024,2,True,ok,1.870829,5.000000,4112.0,30395904.0,0.579756,1.000000,140.000,18.157,8,0.935414,0.875000,28,3696,3696
stencil,H100_SXM5,4194304,1024,3,True,ok,2.250000,5.000000,4112.0,29310336.0,0.559050,1.000000,140.000,18.157,8,0.750000,0.562500,18,2376,2376
stencil,H100_SXM5,4194304,1024,4,True,ok,2.645751,5.000000,4112.0,30395904.0,0.579756,1.000000,140.000,18.157,8,0.661438,0.437500,14,1848,1848
