workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,V100,256,Ref,0,16,0.022528,1489.454534,1,0.000000
gemm,V100,256,V1,1,16,0.033776,993.440072,1,0.000025
gemm,V100,256,V0,0,16,0.030720,1092.266694,1,0.000025
gemm,V100,256,Ref,0,32,0.022528,1489.454534,1,0.000000
gemm,V100,256,V1,1,32,0.028672,1170.285698,1,0.000025
gemm,V100,256,V0,0,32,0.030720,1092.266694,1,0.000025
gemm,V100,256,Ref,0,64,0.022528,1489.454534,1,0.000000
gemm,V100,256,V1,1,64,0.041984,799.219525,1,0.000025
gemm,V100,256,V0,0,64,0.030720,1092.266694,1,0.000025
gemm,V100,256,Ref,0,128,0.022528,1489.454534,1,0.000000
gemm,V100,512,Ref,0,16,0.045056,5957.818135,1,0.000000
gemm,V100,512,V1,1,16,0.177664,1510.916454,1,0.000069
gemm,V100,512,V0,0,16,0.174576,1537.642385,1,0.000069
gemm,V100,512,Ref,0,32,0.045056,5957.818135,1,0.000000
gemm,V100,512,V1,1,32,0.105472,2545.087416,1,0.000069
gemm,V100,512,V0,0,32,0.172544,1555.750719,1,0.000069
gemm,V100,512,Ref,0,64,0.045056,5957.818135,1,0.000000
gemm,V100,512,V1,1,64,0.078848,3404.467667,1,0.000069
gemm,V100,512,V0,0,64,0.171520,1565.038786,1,0.000069
gemm,V100,512,Ref,0,128,0.045056,5957.818135,1,0.000000
gemm,V100,1024,Ref,0,16,0.220160,9754.195678,1,0.000000
gemm,V100,1024,V1,1,16,1.256448,1709.170293,1,0.000504
gemm,V100,1024,V0,0,16,1.217536,1763.794825,1,0.000504
gemm,V100,1024,Ref,0,32,0.220160,9754.195678,1,0.000000
gemm,V100,1024,V1,1,32,0.645632,3326.172885,1,0.000504
gemm,V100,1024,V0,0,32,1.214464,1768.256398,1,0.000504
gemm,V100,1024,Ref,0,64,0.220160,9754.195678,1,0.000000
gemm,V100,1024,V1,1,64,0.452608,4744.687895,1,0.000504
gemm,V100,1024,V0,0,64,1.217024,1764.536856,1,0.000504
gemm,V100,1024,Ref,0,128,0.220160,9754.195678,1,0.000000
gemm,V100,2048,Ref,0,16,1.427456,12035.305416,1,0.000000
