workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
stencil,V100,65536,V1,1,256,0.006144,298.666656,1,0.000000
stencil,V100,262144,V1,1,256,0.010240,716.800018,1,0.000000
stencil,V100,1048576,V1,1,256,0.039424,744.727302,1,0.000000
stencil,V100,4194304,V1,1,256,0.140288,837.138714,1,0.000000
stencil,V100,16777216,V1,1,256,0.550416,853.467294,1,0.000000
stencil,V100,67108864,V1,1,256,2.185728,859.689875,1,0.000000
stencil,V100,65536,V1,1,256,0.006144,298.666656,1,0.000000
stencil,V100,262144,V1,1,256,0.010240,716.800018,1,0.000000
stencil,V100,1048576,V1,1,256,0.038912,754.526349,1,0.000000
stencil,V100,4194304,V1,1,256,0.141296,831.166576,1,0.000000
stencil,V100,16777216,V1,1,256,0.550864,852.773168,1,0.000000
stencil,V100,67108864,V1,1,256,2.185696,859.702441,1,0.000000
